original_title,release_date
"Surfer,surfing
Drift,surfing
Ride,surfing
Surf Ninjas,surfing
The Endless Summer,surfboard
Cake,support group
Dr. Horrible's Sing-Along Blog,supervillain
Housebound,superstition
Wonders of the Universe,supernova
Stargate: The Ark of Truth,supernatural powers
The Signal,supernatural powers
7500,supernatural
Dead in Tombstone,supernatural
Dylan Dog: Dead of Night,supernatural
Firestarter 2: Rekindled,supernatural
Hellraiser: Hellseeker,supernatural
House,supernatural
Lord of Illusions,supernatural
Nightbreed,supernatural
Oculus,supernatural
Paranormal Activity: The Ghost Dimension,supernatural
The Apparition,supernatural
The Car,supernatural
The Crow IV: Wicked Prayer,supernatural
The Ninth Configuration,supernatural
The Pit and the Pendulum,supernatural
The Wicked,supernatural
Bait,supermarket
Earthquake,supermarket
Fase 7,supermarket
One Hour Photo,supermarket
Raising Arizona,supermarket
Sense8: Creating the World,superhuman
Justice League: Doom,superhero team
Ant-Man,superhero
Batman Unlimited: Monster Mayhem,superhero
Birdman,superhero
Blankman,superhero
DC Showcase: Catwoman,superhero
Daredevil,superhero
Dragonball Evolution,superhero
Green Lantern: First Flight,superhero
Griff the Invisible,superhero
Hulk vs. Thor,superhero
Hulk vs. Wolverine,superhero
Iron Man & Captain America: Heroes United,superhero
Krrish 3,superhero
LEGO Marvel Super Heroes: Maximum Overload,superhero
Phineas and Ferb: Mission Marvel,superhero
Son of Batman,superhero
Sparks,superhero
Superman/Batman: Apocalypse,superhero
Superman: Brainiac Attacks,superhero
Zombie Massacre,super soldier
Batman & Mr. Freeze: SubZero,super powers
Justice League: Throne of Atlantis,super powers
Superman/Batman: Public Enemies,super powers
Superman/Shazam!: The Return of Black Adam,super powers
The Batman vs Dracula,super powers
2010,super computer
Need for Speed,super cars
Before Sunrise,sunrise
Silent Running,sunlight
Men in Black,sun glasses
The Tree of Life,sun
Transformers: Revenge of the Fallen,sun
Camp,summer camp
Friday the 13th Part 2,summer camp
Friday the 13th Part III,summer camp
Heavyweights,summer camp
Meatballs,summer camp
Sleepaway Camp,summer camp
The Final Girls,summer camp
Wet Hot American Summer,summer camp
L'Heure d'Ã©tÃ©,summer
Middle of Nowhere,summer
Secret Admirer,summer
The Myth of the American Sleepover,summer
When in Rome,summer
Holes,suitor
The Taming of the Shrew,suitor
3 Idiots,suicide attempt
Charlie Bartlett,suicide attempt
Gattaca,suicide attempt
Heat,suicide attempt
In Dreams,suicide attempt
Short Term 12,suicide attempt
The Craft,suicide attempt
The Love Bug,suicide attempt
"I,suicide
Color of Night,suicide
Cookie's Fortune,suicide
Full Metal Jacket,suicide
Heaven,suicide
Hitler: The Rise of Evil,suicide
I Melt with You,suicide
It's Kind of a Funny Story,suicide
Ken Park,suicide
Le Feu follet,suicide
Looper,suicide
Mean Creek,suicide
On Her Majesty's Secret Service,suicide
Poison Ivy,suicide
Scandal,suicide
Shutter,suicide
Stephen King's It,suicide
The Big Chill,suicide
The Hours,suicide
Valkyrie,suicide
A Single Man,suicidal
The Sweet Hereafter,suffering
You Don't Know Jack,suffering
Beyond the Lights,success
Breakfast of Champions,success
Daddy Day Care,success
Pollock,success
Rock Star,success
Valentine,success
Creep,subway
Kontroll,subway
The Bank Job,subway
The Yards,subway
Underworld,subway
Act of Valor,submarine
Austin Powers in Goldmember,submarine
Down Periscope,submarine
Submerged,submarine
The Spy Who Loved Me,submarine
3000 Miles to Graceland,submachine gun
Rambo III,submachine gun
Sx_Tape,subjective camera
The Story of O,subjection
The Decline of Western Civilization,subculture
Scenic Route,stupidity
Drive,stuntman
Silent Movie,stuntman
The Stunt Man,stuntman
Jackass 3D,stunt
Nitro Circus: The Movie,stunt
æˆé¾çš„ç‰¹æŠ€,stunt
Swingers,stuffed animal
Dracula II: Ascension,student of medicine
Expelled,student
Into the Storm,student
KumarÃ©,student
Elektra Luxx,stuck in elevator
Backbeat,stuart sutcliffe
Steel Magnolias,strong woman
The Hunger Games: Mockingjay - Part 2,strong woman
Shadowlands,stroke of fate
Bully,striptease
The Full Monty,striptease
Zombie Strippers!,striptease
Welcome to the Rileys,stripper
Magic Mike XXL,strip club
Striptease,strip club
The Big Bang,strip club
The Ice Harvest,strip club
Atlas Shrugged Part I,strike
The Replacements,strike
Death Race 2000,street race
8 Mile,street gang
Assault on Precinct 13,street gang
Dirty,street gang
District 9,street gang
Escape from New York,street gang
Grease,street gang
The Big Brawl,street gang
The Wanderers,street gang
Fighting,street fighter
Taking Lives,strangeness
Alive,stranded
Tremors 2: Aftershocks,stranded
Vinyan,stranded
My Dinner with AndrÃ©,story telling
Frankenweenie,stop motion animation
The Making of 'The Nightmare Before Christmas',stop motion animation
The Pirates! In an Adventure with Scientists!,stop motion animation
Vincent,stop motion animation
American Ultra,stoner
Pineapple Express,stoner
The Clan of the Cave Bear,stone age
The Croods,stone age
Stomp the Yard 2: Homecoming,stomp
"Stockholm,stockholm syndrome
The Company Men,stock price
Splendor in the Grass,stock market crash
Boiler Room,stock broker
Airport '77,stewardess
The Concorde... Airport '79,stewardess
Turbulence,stewardess
City Slickers,stetson
The Watch,sterility
Christine,stephen king
Misery,stephen king
Hawking,stephen hawking
Sinbad and the Eye of the Tiger,step mother
Hot Rod,step father
Sherlock Holmes: A Game of Shadows,steampunk
Stargate SG-1: Children of the Gods,stargate
Star Trek V: The Final Frontier,starfleet
Star Trek: First Contact,starfleet
Romeo + Juliet,star crossed lovers
The Final Cut,star
Woody Allen: A Documentary,star
Eddie Murphy Raw,stand-up
Chelsea Peretti: One of the Greats,stand up comedy
Cyberbully,stalking
Opening Night,stalker
Play Misty for Me,stalker
The Gift,stalker
Perfect Stranger,staging
The Sugarland Express,stadium
Safe House,stabbed in the stomach
Hollow Man II,stabbed in the eye
Another Stakeout,staatsanwÃ¤ltin
Find Me Guilty,staatsanwÃ¤ltin
Beethoven,st. bernard's dog
Over the Hedge,squirrel
Billion Dollar Brain,spy
Bridge of Spies,spy
Clear and Present Danger,spy
Eye of the Needle,spy
Get Smart,spy
If Looks Could Kill,spy
Never Say Never Again,spy
The Hunting Party,spy
The Ipcress File,spy
The Mask of Zorro,spy
The Spy Who Came in from the Cold,spy
True Lies,spy
Confessions of a Teenage Drama Queen,spotlight
Invincible,sports team
Rollerball,sports team
Air Bud: Spikes Back,sports car
Joshua Tree,sports car
"Montevideo,sport
"Mystery,sport
61*,sport
Against the Ropes,sport
Air Bud: Golden Receiver,sport
Bad News Bears,sport
Beer League,sport
Big Wednesday,sport
Breaking Away,sport
Bring It On,sport
Bring It On: Fight to the Finish,sport
Chasing Mavericks,sport
Creed,sport
D3: The Mighty Ducks,sport
Ed,sport
Facing the Giants,sport
Goal!: The Dream Begins,sport
Gong fu guan lan,sport
Goon,sport
Grind,sport
Grudge Match,sport
Hot Dog... The Movie,sport
Johnny Kapahala - Back on Board,sport
Johnny Tsunami,sport
Kingpin,sport
LadyBugs,sport
Legenda No. 17,sport
Legendary,sport
Lucky You,sport
Major League II,sport
Major League,sport
Mr. 3000,sport
Mr. Woodcock,sport
Nacho Libre,sport
Necessary Roughness,sport
Nowitzki: The Perfect Shot,sport
Ping Pong,sport
Ready to Rumble,sport
Rookie of the Year,sport
Rush,sport
Slap Shot,sport
Stay Hungry,sport
The Babe,sport
The Bad News Bears,sport
The Cutting Edge,sport
The Foot Fist Way,sport
The Great White Hype,sport
The Mighty Ducks,sport
The Philly Kid,sport
The Program,sport
The Program,sport
Vision Quest,sport
Wildcats,sport
Win Win,sport
Woodlawn,sport
Youngblood,sport
"What's Up,spoof
Dracula: Dead and Loving It,spoof
Fatal Instinct,spoof
Our Man Flint,spoof
Spy Hard,spoof
The Freshman,spoof
High Spirits,spirit
Madhouse,spirit
Neverlake,spirit
Scooby-Doo! The Mystery Begins,spirit
The Dead Room,spirit
Enemy,spiders
Charlotte's Web,spider
Cirque du Freak: The Vampire's Assistant,spider
Spider-Man,spider
Tales of Terror,spider
Delivery Man,sperm donor
Ted 2,sperm bank
Akeelah and the Bee,spelling
Life-Size,spell
Spun,speed freak
Furious 7,speed
Lincoln,speech
Batman Unmasked: The Psychology of the Dark Knight,special feature
The Hard Corps,special car
American Pie Presents: Band Camp,spanner
Mission: Impossible II,spain
Saint-Jacques... La Mecque,spain
Yellowbeard,spain
Galaxy Quest,spaceship
Guardians of the Galaxy,spaceship
Home,spaceship
Pandorum,spaceship
Star Wars: The Force Awakens,spaceship
Stargate: Continuum,spaceship
Europa Report,spacecraft
Explorers,spacecraft
In Like Flint,spacecraft
Mission to Mars,spacecraft
The Day the Earth Stood Still,spacecraft
Transformers: Dark of the Moon,spacecraft
V,spacecraft
Space Truckers,space war
The Ice Pirates,space war
Space Cowboys,space travel
The Astronaut's Wife,space travel
Elysium,space station
Zenon: The Zequel,space station
Metalstorm: The Destruction of Jared-Syn,space opera
DoppelgÃ¤nger,space mission
In the Shadow of the Moon,space mission
(T)Raumschiff Surprise - Periode 1,space marine
Airplane II: The Sequel,space marine
Dracula 3000,space marine
Jason X,space marine
Lifeforce,space marine
Planet of the Apes,space marine
Soldier,space marine
Space Chimps,space marine
Starship Troopers 3: Marauder,space marine
Starship Troopers: Invasion,space marine
The Black Hole,space marine
The Thing,space marine
The Second Arrival,space invasion
Interstellar: Nolan's Odyssey,space exploration
Ambition,space
BURNâ€¢E,space
Dead Space: Aftermath,space
Gravity,space
Leprechaun 4: In Space,space
Love,space
Space Station 3D,space
Virtuality,space
Ð¡Ñ‚Ð°Ð»Ð¸Ð½Ð³Ñ€Ð°Ð´,soviet troops
"Hush... Hush,southern u.s.
Beautiful Creatures,southern u.s.
Black Snake Moan,southern u.s.
The Devil's Advocate,southern u.s.
The Patriot,southern u.s.
Thelma & Louise,southern u.s.
Still Life,south london
Our Brand Is Crisis,south america
Invictus,south africa
Mandela: Long Walk to Freedom,south africa
Zulu,south africa
In My Father's Den,soulmates
Twilight,soulmates
Ray,soul
Shelter,soul
The Commitments,soul
What Dreams May Come,soul
Pledge This!,sorority
Sorority Wars,sorority
The Care Bears Movie,sorcerer's apprentice
Jeepers Creepers,song
Mao's Last Dancer,song
Music and Lyrics,song
Land and Freedom,solidarity
Les Neiges du Kilimandjaro,solidarity
St. Trinian's,solidarity
Behind Enemy Lines II: Axis of Evil,soldier
Megaforce,soldier
The 300 Spartans,soldier
Darkness,solar eclipse
Flash Gordon,solar eclipse
Little Shop of Horrors,solar eclipse
The Watcher in the Woods,solar eclipse
Dog Pound,sodomy
It Might Get Loud,soda bottle
Chiko,socially deprived family
Free Willy,social worker
The Golden Child,social worker
Madame Bovary,social status
The Waterboy,social outcast
The American Matrix - Age Of Deception,social control
They Live,social commentary
Goal! II: Living the Dream,soccer
Palo Alto,soccer
Switching Goals,soccer
Soapdish,soap opera
Chalet Girl,snowboarding
The Art of Flight,snowboard
Everest,snow storm
Hross Ã­ oss,snow storm
Happy People: A Year in the Taiga,snow
Enemy at the Gates,sniper
Jack Reacher,sniper
Shooter,sniper
Suddenly,sniper
The Shootist,sniper
Tower Block,sniper
My Stepmother is an Alien,sneeze
A Nightmare on Elm Street Part 2: Freddy's Revenge,snake
Jackass 3.5,snake
Mud,snake
The Gruffalo,snake
The Jungle Book,snake
Doctor Dolittle,snail
The Smurfs: The Legend of Smurfy Hollow,smurfs
The Smurfs 2,smurf
The Living Daylights,smuggling of arms
Topkapi,smuggling
Smoke,smoking
Balada triste de trompeta,smashed head
All the Real Girls,small town
Bravetown,small town
Cape Fear,small town
Dante's Peak,small town
Karla,small town
Local Hero,small town
Nebraska,small town
New in Town,small town
Nosferatu: Phantom der Nacht,small town
Plots with a View,small town
Safe Haven,small town
Snow Cake,small town
State and Main,small town
The Last Stand,small town
The Man Who Wasn't There,small town
The Warrior's Way,small town
Tremors,small town
Varsity Blues,small town
Slumdog Millionaire,slum
West Side Story,slum
13 Eerie,slow motion scene
Ice Age: The Meltdown,sloth
Fifty Dead Men Walking,slot machine
Species II,slime
Dark City,sleep
12 Years a Slave,slavery
Conan the Barbarian,slavery
Eden,slavery
Manderlay,slavery
The Eagle,slavery
Year One,slavery
Attack Force,slaughter
Scream 2,slaughter
Stitches,slaughter
Charlie's Farm,slasher
Intruder,slasher
Leprechaun 2,slasher
Motel Hell,slasher
See No Evil 2,slasher
Sleepaway Camp II: Unhappy Campers,slasher
The Hills Run Red,slasher
Caveman,slapstick
Stan Helsing,slapstick
The Tall Guy,slapstick
Coffee Town,slacker
Due Date,slacker
Freddy Got Fingered,slacker
Paperman,skyscraper
The Walk,skyscraper
Made in Britain,skinhead
Meantime,skinhead
Downhill Racer,skiing
Ghost Rider: Spirit of Vengeance,skeleton
Immortel (ad vitam),skeleton
Back to the Future Part II,skateboarding
Bones Brigade: An Autobiography,skateboarding
Lords of Dogtown,skateboarding
Twinsters,sisterhood
Immortal Beloved,sister-in-law
12 Men of Christmas,sister sister relationship
American Wedding,sister sister relationship
Atonement,sister sister relationship
Cow Belles,sister sister relationship
Frozen Fever,sister sister relationship
Gone,sister sister relationship
Happiness,sister sister relationship
In the Land of Blood and Honey,sister sister relationship
La gran familia espaÃ±ola,sister sister relationship
Ladies in Lavender,sister sister relationship
Lilo & Stitch,sister sister relationship
My Sister's Keeper,sister sister relationship
Our Idiot Brother,sister sister relationship
Running with Scissors,sister sister relationship
StarStruck,sister sister relationship
The Eye,sister sister relationship
The Other Boleyn Girl,sister sister relationship
The Wild Thornberrys Movie,sister sister relationship
Tiny Furniture,sister sister relationship
Twitches,sister sister relationship
Welcome to the Dollhouse,sister sister relationship
Marvin's Room,sister
So I Married an Axe Murderer,sister
Soul Food,sister
Suicide Kings,sister
Shanghai Noon,sioux
Must Love Dogs,singles
One Square Mile,single parent
Prom,single parent
Sunshine Cleaning,single parent
The End of Love,single parent
The Pursuit of Happyness,single parent
Good Deeds,single mother
Norma Rae,single mother
One Fine Day,single father
Broken English,single
"Distant Voices,singer
The Jerk Theory,singer
The Golden Voyage of Sinbad,sinbad
The Thirteenth Floor,simulation
55 Days at Peking,siege
Nine,sidewalk cafe
The Harvest,sick child
Kiss of the Damned,sibling rivalry
Basket Case,siamese twins
A Lot Like Love,shyness
Corpse Bride,shyness
The Way Way Back,shyness
Innerspace,shrinking
Critters 4,shower
Doppelganger,shower
The Power of One,shower
Beverly Hills Cop,showdown
Heaven's Gate,showdown
Jimmy Neutron: Boy Genius,showdown
Pale Rider,showdown
Tank,showdown
The Fugitive,showdown
The Man Who Shot Liberty Valance,showdown
Undisputed III: Redemption,showdown
DC Showcase: Green Arrow,showcase
DC Showcase: Jonah Hex,showcase
Man on the Moon,show business
The Adventures of Ford Fairlane,show business
The King of Comedy,show business
Scouts Guide to the Zombie Apocalypse,shotgun
Terminator 2: Judgment Day,shotgun
Powder,shot to death
Nurse Betty,shot in the head
Ronin,shot in the chest
Babe: Pig in the City,shortage of money
Blinkyâ„¢,short
Riddick: Blindsided,short
Friday After Next,shopping mall
Barbershop,shop
"Give 'em Hell,shootout
A Rage in Harlem,shootout
Death Ship,shipwreck
DjÃºpiÃ°,shipwreck
Life of Pi,shipwreck
The Blue Lagoon,shipwreck
Titanic,ship
The Avengers,shield
An Unfinished Life,sheriff
Bonnie and Clyde,sheriff
Cowboys & Aliens,sheriff
Desperation,sheriff
Halloween 5: The Revenge of Michael Myers,sheriff
Hard Rain,sheriff
Lake Placid,sheriff
Rio Lobo,sheriff
Serena,sheriff
Twixt,sheriff
Unforgiven,sheriff
Walking Tall,sheriff
Legionnaire,shepherd
The Little Rascals,shenanigan
Jaws: The Revenge,shark attack
Deep Blue Sea,shark
The Forbidden Kingdom,shaolin
Code 46,shanghai
Theatre of Blood,shakespearean actor
Hamlet,shakespeare adaptation
Macbeth,shakespeare
The Merchant of Venice,shakespeare
K-9,shadowing
K-9: P.I.,shadowing
After Sex,sexuality
All About the Benjamins,sexuality
Booty Call,sexuality
Coonskin,sexuality
Dangerous Liaisons,sexuality
The To Do List,sexuality
The Getaway,sexual torture
Crash,sexual obsession
Eyes Wide Shut,sexual obsession
The Master,sexual obsession
The Magdalene Sisters,sexual harassment
Carnal Knowledge,sexual confusion
Blame It on Rio,sexual awakening
Doubt,sexual abuse
Monster,sexual abuse
Anchorman: The Legend of Ron Burgundy,sexism
Just One of the Guys,sexism
Miss Representation,sexism
The Associate,sexism
Adult World,sex-shop
EnfermÃ©s dehors,sex-shop
Equals,sex scene
How to Plan an Orgy in a Small Town,sex scene
The Caller,sex scene
Love Object,sex doll
Old School,sex doll
Romeo Is Bleeding,sex addiction
Thanks for Sharing,sex addiction
(500) Days of Summer,sex
11:14,sex
54,sex
9to5: Days in Porn,sex
A Life Less Ordinary,sex
Alex & Emma,sex
Amityville II: The Possession,sex
Animal House,sex
Basic Instinct 2,sex
Basquiat,sex
Blown Away,sex
Body of Evidence,sex
Boys Don't Cry,sex
Buying the Cow,sex
Cabaret,sex
Calibre 45,sex
Catwoman,sex
Chasers,sex
Cherry Falls,sex
Confessions of a Sociopathic Social Climber,sex
Cosmopolis,sex
Cruel Intentions 3,sex
DeVour,sex
Dead Ringers,sex
Deep End,sex
Dirty Dancing,sex
Disturbing Behavior,sex
Don Jon,sex
Earth Girls Are Easy,sex
Edmond,sex
Election,sex
Ellie Parker,sex
Embrace of the Vampire,sex
End of Days,sex
Feast of Love,sex
Flesh + Blood,sex
Foxes,sex
Going the Distance,sex
Good Will Hunting,sex
Happy Endings,sex
Heavenly Creatures,sex
Heavy Metal 2000,sex
Hemingway & Gellhorn,sex
Hostel,sex
In Her Shoes,sex
Kaboom,sex
Kinsey,sex
Knock Knock,sex
Le Divorce,sex
Les bien-aimÃ©s,sex
Lie with Me,sex
Liquid Sky,sex
Little Birds,sex
Love and Other Disasters,sex
Love,sex
Lymelife,sex
Maps to the Stars,sex
Meet the Feebles,sex
Mr. Nice,sex
My Best Friend's Girl,sex
Network,sex
Nina Forever,sex
No Mercy,sex
Orgazmo,sex
Original Sin,sex
Outside Providence,sex
Palmetto,sex
Playing by Heart,sex
Proof,sex
Reno 911!: Miami,sex
Rent,sex
Ridicule,sex
Road Trip,sex
Savage Grace,sex
Sexy Beast,sex
Single White Female,sex
Spring Breakers,sex
The BrÃ¸ken,sex
The Canal,sex
The Canyons,sex
The Chase,sex
The End of the Affair,sex
The Good Girl,sex
The Guru,sex
The Hot Chick,sex
The Last Days of Disco,sex
The Last Supper,sex
The Libertine,sex
The Quiet Earth,sex
The Samaritan,sex
The Time Traveler's Wife,sex
The Wash,sex
The Wolf of Wall Street,sex
Trojan War,sex
Valley Girl,sex
Walled In,sex
Wild Cherry,sex
Wild Things 2,sex
Wild at Heart,sex
Zapped!,sex
Zardoz,sex
C.H.U.D.,sewer
Bedazzled,seven deadly sins
A Little Princess,servant
A Princess for Christmas,servant
Death Comes to Pemberley,servant
Found,series of murders
Sightseers,series of murders
Texas Killing Fields,series of murders
The Hitcher,series of murders
A Horrible Way to Die,serial killer
AntikÃ¶rper,serial killer
Child 44,serial killer
Contre-EnquÃªte,serial killer
Cry_Wolf,serial killer
D-Tox,serial killer
Eye of the Beholder,serial killer
Giallo,serial killer
Hell Night,serial killer
Jack Frost,serial killer
My Soul to Take,serial killer
Red Dragon,serial killer
Saw II,serial killer
Switchback,serial killer
Terror Firmer,serial killer
The January Man,serial killer
The Pact II,serial killer
The Town That Dreaded Sundown,serial killer
Cadence,sergeant
Breakin' 2: Electric Boogaloo,sequel
Candyman: Farewell to the Flesh,sequel
Contracted: Phase II,sequel
Darkman II: The Return of Durant,sequel
Family Guy Presents: It's a Trap!,sequel
Fast & Furious 6,sequel
Hatchet III,sequel
Horrible Bosses 2,sequel
Hot Tub Time Machine 2,sequel
Leprechaun 3,sequel
Mission: Impossible - Ghost Protocol,sequel
Mission: Impossible - Rogue Nation,sequel
Mostly Ghostly: Have You Met My Ghoulfriend?,sequel
Pitch Perfect 2,sequel
Rampage: Capital Punishment,sequel
Stepfather II: Make Room For Daddy,sequel
The Amazing Spider-Man 2,sequel
The Cheetah Girls 2,sequel
The Cheetah Girls: One World,sequel
The Cutting Edge 3: Chasing the Dream,sequel
The Human Centipede 3 (Final Sequence),sequel
The Man with the Iron Fists 2,sequel
The Marine 2,sequel
The Neverending Story II: The Next Chapter,sequel
The Return of Swamp Thing,sequel
The Transporter Refueled,sequel
Twitches Too,sequel
Van Wilder: Freshman Year,sequel
Wishmaster 3: Beyond the Gates of Hell,sequel
Dead Calm,sense of guilt
Obsession,sense of guilt
Reservation Road,sense of guilt
The Private Lives of Pippa Lee,sense of guilt
The Sixth Sense,sense of guilt
Bobby,senator
Star Wars: Episode I - The Phantom Menace,senate
Used Cars,senate
Beethoven's 2nd,sell
Capote,self-fulfilling prophecy
An Education,self-discovery
One Week,self-discovery
Runaway Bride,self-discovery
Alien,self-destruction
Less Than Zero,self-destruction
The Deep Blue Sea,self-destruction
Hanna,self sacrifice
Rock & Rule,self sacrifice
Saw 3D,self help guru
Anthony Zimmer,seduction
Cool World,seduction
Focus,seduction
Hellbound: Hellraiser II,seduction
Hellraiser,seduction
I Know Who Killed Me,seduction
Spread,seduction
The Four Musketeers,seduction
Good Olâ€™ Freda,secretary
Dear Wendy,secret society
Society,secret society
The Skulls,secret society
Olympus Has Fallen,secret service
Firewalker,secret passage
Law Abiding Citizen,secret passage
The Mummy,secret passage
The East,secret organization
Assassin's Creed: Lineage,secret life
Goldfinger,secret intelligence service
Stormbreaker,secret intelligence service
Charlie's Angels: Full Throttle,secret identity
Dragonslayer,secret identity
Hitman,secret identity
Hitman: Agent 47,secret identity
Kick-Ass 2,secret identity
Men in Black II,secret identity
Soul Man,secret identity
The Incredibles,secret identity
Watchmen,secret identity
Out of Reach,secret code
Bang Bang,secret agent
Despicable Me 2,secret agent
Goldeneye,secret agent
Haywire,secret agent
Hot Shots! Part Deux,secret agent
Skyfall,secret agent
Spawn,secret agent
St. Elmo's Fire,secret admirer
Cut Bank,secret
Erased,secret
Exotica,secret
Fatherland,secret
Harriet the Spy,secret
Haunted,secret
I Know What You Did Last Summer,secret
La HabitaciÃ³n de Fermat,secret
Lolita,secret
Margot at the Wedding,secret
Monster House,secret
Murder by Numbers,secret
North Country,secret
Read It and Weep,secret
Return to Nim's Island,secret
Secrets & Lies,secret
The Longest Week,secret
The Man from Earth,secret
The Perks of Being a Wallflower,secret
The Prestige,secret
The Russia House,secret
The Skeleton Key,secret
The Woman in Black,secret
Your Sister's Sister,secret
Last Days,seattle
Say Anything...,seattle
Ghoul,seance
Deep Rising,sea monster
Atlantis: The Lost Empire,sea
Chinatown,sea
Dead Man,sea
DeepStar Six,sea
Le temps qui reste,sea
Nico and Dani,sea
The Fog,sea
The Little Mermaid,sea
The SpongeBob Movie: Sponge Out of Water,sea
The SpongeBob SquarePants Movie,sea
The Maiden Heist,scuplture
PionÃ©r,scuba diving
A Christmas Carol,scrooge
Mickey's Christmas Carol,scrooge
Scrooge,scrooge
Trick,screenwriter
Barton Fink,screenplay
King Kong,screenplay
Sherlock Holmes,scotland yard
The Abominable Dr. Phibes,scotland yard
Braveheart,scotland
Chariots of Fire,scotland
Finding Neverland,scotland
Highlander II: The Quickening,scotland
Highlander,scotland
The Acid House,scotland
The Piano,scotland
To End All Wars,scotland
Under the Skin,scotland
Young Adam,scotland
Yes Man,scooter
Going Clear: Scientology and the Prison of Belief,scientology
Kids in the Hall: Brain Candy,scientist
Scream and Scream Again,scientist
Hunter Prey,science fiction
Mass Effect: Paragon Lost,science fiction
The Last Days on Mars,science fiction
Music of the Heart,school teacher
Grosse Pointe Blank,school party
High School High,school
Monster High: Haunted,school
Some Kind of Wonderful,school
The Moth Diaries,school
"Clean,schizophrenia
